PRIMARY,NATIVE,INTERMEDIATE
一,one,yī
丨,line,shù
丶,dot,diǎn
丿 or 乀 or 乁,slash,piě
乙 or 乚 or 乛,second,yǐ
亅,hook,gōu
二,two,èr
亠,lid,tóu
人 or 亻,person,rén
儿,legs,ér
入,enter,rù
八 or 丷,eight,bā
冂,down box,jiǒng
冖,cover,mì
冫,ice,bīng
几,table,jī or jǐ
凵,open box,qǔ
刀 or刂,knife,dāo
力,power,lì    
勹,wrap,bāo
匕,ladle,bǐ
匚,right open box,fāng
匸,hiding enclosure,xǐ
十,ten,shí
卜,divination,bǔ
卩,seal,jié
厂,cliff,hàn
厶,private,sī
又,again,yòu
口,mouth,kǒu
囗,enclosure,wéi
土,earth,tǔ
士,scholar,shì
夂,go,zhī
夊,go slowly,suī
夕,night,xī
大,big,dà
女,woman,nǚ
子,child,zǐ
宀,roof,gài
寸,inch,cùn
小,small,xiǎo
尢 or 尣,lame,yóu    
尸,corpse,shī
屮,sprout,chè
山,mountain,shān
川 or 巛 or 巜,river,chuān    
工,work,gōng
己,oneself,jǐ
巾,towel,jīn
干,dry,gān
幺,thread,yāo
广,shelter,guǎng
廴,stride,yǐn
廾,hands joined,gǒng
弋,shoot with a bow,yì
弓,bow,gōng
彐 or 彑,snout,jì    
彡,hair,shān
彳,step,chì
心 or 忄,heart,xīn    
戈,spear,gē
户,door,hù
手 or 扌,hand,shǒu    
支,branch,zhī
攴 or 攵,rap,pū    
文,script,wén
斗,dipper,dǒu
斤,axe,jīn
方,square,fāng
无,not,wú
日,sun,rì
曰,say,yuē
月,moon,yuè
木,tree,mù
欠,lack,qiàn
止,stop,zhǐ    
歹,death,dǎi
殳,weapon,shū
母 or 毋,mother,mǔ    
比,compare,bǐ
毛,fur,máo
氏,clan,shì
气,steam,qì
水 or 氵,water,shuǐ 
火 or 灬,fire,huǒ 
爪 or 爫,claw,zhǎo
父,father,fù
爻,lines on a trigram,yáo
爿,half of a tree trunk,qiáng
片,slice,piàn
牙,tooth,yá
牛 or 牜,cow,niú
犭 or 犬,dog,quǎn
玄,profound,xuán
玉 or 王,jade,yù
瓜,melon,guā
瓦,tile,wǎ
甘,sweet,gān
生,life,shēng
用,use,yòng
田,field,tián
疋,cloth,pǐ
疒,ill,bìng
癶,foot steps,bō
白,white,bái
皮,skin,pí
皿,dish,mǐn
目,eye,mù
矛,spear,máo
矢,arrow,shǐ
石,stone,shí
示 or 礻,spirit,shì    
禸,track,róu
禾,grain,hé
穴,cave,xuè
立,stand,lì    
竹,bamboo,zhú    
米,rice,mǐ    
纟 or (糸),silk,sī
缶,jar,fǒu    
网 or 罒,net,wǎng    
羊,sheep,yáng    
羽,feather,yǔ    
老,old,lǎo    
而,and,ér    
耒,plow,lěi    
耳,ear,ěr    
聿,brush,yù    
肉,meat,ròu
臣,minister,chén    
自,oneself,zì
至,arrive,zhì    
臼,mortar,jiù    
舌,tongue,shé    
舛,contrary,chuǎn    
舟,boat,zhōu
艮,mountain,gèn    
色,color,sè    
艹,grass,cǎo    
虍,tiger,hǔ    
虫,insect,chóng    
血,blood,xuě    
行,walk,xíng    
衣 or 衤,clothes,yī
西 or 覀,west,xī
见 or (見),see,jiàn
角,horn,jiǎo
讠or (言),speech,yán
谷,valley,gǔ    
豆,bean,dòu    
豕,pig,shǐ
豸,badger,zhì
贝 or (貝),shell,bèi    
赤,red,chì    
走,walk,zǒu    
足,foot,zú    
身,body,shēn    
车 or (車),cart,chē    
辛,bitter,xīn    
辰,morning,chén
辶,walk,chuò    
邑 or 阝,city,yì
酉,wine,yǒu   
釆,distinguish,biàn
里,village,lǐ    
钅 or 金,metal,jīn
长 or (長),long,cháng  
门 or (門),gate,mén
阜 or 阝,mound,fù
隶,slave,lì
隹,short-tailed bird,zhuī
雨,rain,yǔ    
青,blue,qīng
非,wrong,fēi    
面,face,miàn
革,leather,gé    
韦 or (韋),soft leather,wěi    
韭,leek,jiǔ    
音,sound,yīn    
页 or (頁),page,yè 
风 or (風),wind,fēng
飞 or (飛),fly,fēi 
饣 or 飠 or 食,eat,shí    
首,head,shǒu 
香,fragrant,xiāng
马 or (馬),horse,mǎ
骨,bone,gǔ
高,high,gāo
髟,long hair,biāo    
鬥,fight,dòu  
鬯,sacrificial wine,chàng    
鬲,cauldron,lì    
鬼,ghost,guǐ    
鱼 or (魚),fish,yú
鸟 or (鳥),bird,niǎo   
卤,salty,lǔ  
鹿,deer,lù
麦 or (麥),wheat,mài 
麻,hemp,má    
黄,yellow,huáng    
黍,millet,shǔ    
黑,black,hēi    
黹,embroidery,zhǐ    
黾 or (黽),frog,mǐn    
鼎,tripod,dǐng    
鼓,drum,gǔ    
鼠,rat,shǔ
鼻,nose,bí  
齐 or (齊),even,qí    
齿 or (齒),tooth,chǐ
龙 or (龍),dragon,lóng    
龟 or (龜),turtle,guī    
龠,flute,yuè